DAQ_time_end,VEventBit3,VEventBit2,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit4,run,VEventBit9,VEventBit8,fill,activeDetectors,lumi_seen,beamEnergy,beamType,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit27,VEventBit24,VEventBit25,VEventBit13,DAQ_time_start,VEventBit30,runDuration,VEventBit28,VEventBit29,partition,LHCBeamMode,VEventBit12,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,VEventBit14,VEventBit19,VEventBit18,LHCperiod
1474789146.0,12562,0,414629,0,0,1888,0,0,262424,6396,2538,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,278.3155033865465,6499.0,p-p,24,0,0,203175,0,0,0,0,70,1474788395.0,0,751,0,0,PHYSICS_1,STABLE BEAMS,0,36651,5362,0,824,1182,51,0,0,LHC16o
1474789864.0,8439,0,300381,0,0,673,0,0,262425,2302,904,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,100.08323585297302,6499.0,p-p,6,0,0,145957,0,0,0,0,71,1474789309.0,0,555,0,0,PHYSICS_1,STABLE BEAMS,0,13449,3895,0,562,842,51,0,0,LHC16o
1474791689.0,23883,0,850853,0,0,1976,0,0,262426,0,0,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD,272.4436892089915,6499.0,p-p,0,0,0,413068,0,0,0,0,192,1474790205.0,0,1484,0,0,PHYSICS_1,STABLE BEAMS,0,0,10982,0,1591,2351,120,0,0,LHC16o
1474792980.0,8240,0,297559,0,0,634,0,0,262427,1990,790,5331,ITSSPD ITSSSD TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,85.13115256462812,6500.0,p-p,11,0,0,144388,0,0,0,0,69,1474792478.0,0,502,0,0,PHYSICS_1,STABLE BEAMS,0,11720,3792,0,538,793,52,0,0,LHC16o
1474798057.0,40921,0,1467999,0,0,3244,0,0,262429,11064,4220,5331,ITSSPD ITSSSD TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,478.86100455020954,6499.0,p-p,32,0,0,716356,0,0,0,0,272,1474795596.0,0,2461,0,0,PHYSICS_1,STABLE BEAMS,0,63584,18867,0,2712,4106,225,0,0,LHC16o
1474802301.0,60889,0,2185029,0,0,5590,0,0,262430,18428,7179,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,796.9239488295685,6499.0,p-p,62,0,0,1063507,0,0,0,0,472,1474798182.0,0,4119,0,0,PHYSICS_1,STABLE BEAMS,0,106817,27976,0,3846,5836,334,0,0,LHC16o
1474877686.0,5841,0,197796,0,0,20304,0,0,262487,66638,26116,5338,ITSSPD ITSSDD ITSSSD TPC TRD TOF PHOS CPV PMD FMD T0 VZERO ACORDE AD MUONTRK MUONTRG,3774.024144251028,6500.0,p-p,270,0,0,94575,0,0,0,0,48666,1474875383.0,0,2303,0,0,PHYSICS_1,STABLE BEAMS,0,193472,699,0,225413,2942,449,0,0,LHC16o
1474881804.0,8696,0,306312,0,0,10791,0,0,262489,35124,13729,5338,ITSSPD ITSSDD ITSSSD TPC TRD TOF PHOS CPV PMD FMD T0 VZERO ACORDE AD MUONTRK MUONTRG,6134.998674757849,6500.0,p-p,114,0,0,147708,0,0,0,0,75017,1474877945.0,0,3859,0,0,PHYSICS_1,STABLE BEAMS,0,101881,1,0,343944,252,250,0,0,LHC16o
1474885501.0,8176,0,286777,0,0,15035,0,0,262490,48139,19089,5338,ITSSPD ITSSDD ITSSSD TPC TRD TOF PHOS CPV PMD FMD T0 VZERO ACORDE AD MUONTRK MUONTRG,5662.514013477859,6500.0,p-p,165,0,0,138470,0,0,0,0,70072,1474881892.0,0,3609,0,0,PHYSICS_1,STABLE BEAMS,0,139880,835,0,320613,11979,6069,0,0,LHC16o
1474890139.0,10189,0,362154,0,0,27705,0,0,262492,89666,35374,5338,ITSSPD ITSSDD ITSSSD TPC TRD TOF PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD MUONTRK MUONTRG,7455.48342132602,6500.0,p-p,358,0,0,175543,0,0,0,0,89786,1474885754.0,0,4385,0,0,PHYSICS_1,STABLE BEAMS,0,260934,4675,0,401088,175961,28685,0,0,LHC16o
1360184202.0,2557,0,16086,0,96717,0,0,0,196965,134038,32116,3534,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,164.46138303486984,4000.0,p-Pb,0,0,0,0,0,0,0,0,3998,1360182762.0,0,1440,177327,0,PHYSICS_1,STABLE BEAMS,0,117351,3886,0,0,22480,26030,0,0,LHC13f
1360185853.0,4944,0,29934,0,0,0,0,0,196967,0,0,3534,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,153.5050584336837,4000.0,p-Pb,0,0,0,0,0,0,0,0,7685,1360184533.0,0,1320,177992,0,PHYSICS_1,STABLE BEAMS,0,0,3965,0,0,21883,25489,0,0,LHC13f
1472997691.0,0,0,0,0,67623,2590,0,0,260792,49929,3688,5277,ITSSPD PHOS CPV T0 VZERO EMCAL MUONTRK MUONTRG,2944.415155274359,6499.0,p-p,37,0,0,0,0,0,0,0,1,1472997325.0,0,366,0,0,PHYSICS_1,STABLE BEAMS,0,33816,0,0,0,0,0,0,0,LHC16n
1360195517.0,34639,0,192870,0,945543,0,0,0,196972,1298874,359859,3534,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,800.1058857094418,4000.0,p-Pb,0,0,0,0,0,0,0,0,52344,1360186302.0,0,9215,1238720,0,PHYSICS_1,STABLE BEAMS,0,1331818,27150,0,0,133816,154283,0,0,LHC13f
1360198637.0,41113,0,62974,0,178033,0,0,0,196973,243541,110630,3534,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,150.2194262499803,4000.0,p-Pb,0,0,0,0,0,0,0,0,26463,1360196199.0,0,2438,611584,0,PHYSICS_1,STABLE BEAMS,0,426079,12940,0,0,30927,34478,0,0,LHC13f
1360200363.0,34293,0,39223,0,100008,0,0,0,196974,137114,70481,3534,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,86.37857870318594,4000.0,p-Pb,0,0,0,0,0,0,0,0,18387,1360198855.0,0,1508,431946,0,PHYSICS_1,STABLE BEAMS,0,271468,8932,0,0,18611,20742,0,0,LHC13f
1474906074.0,0,0,859212,0,0,0,0,0,262530,0,0,5339,ZDC,0.0,6499.0,p-p,0,0,0,0,0,0,0,0,0,1474905240.0,0,834,0,0,PHYSICS_2,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC16o
