run, fill, bcs, bcsA, bcsC, bcsE, run_duration, mu, interactionRate, refCounts, lumi_seen, class_lMb, class_lMa, class_l0b, class_l0a, class_l1b, class_l1a, class_l2b, class_l2a, class_lifetime, class_lumi, class_ds, alias_recorded, alias_reconstructed, alias_accepted, alias_l0b_rate, alias_lifetime, alias_lumi_recorded, alias_lumi_reconstructed
260741, 5275, 1940, 280, 280, 2, 4494, 0.0222306, 484968, 8.67914e+08, 29059.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000501792, 14.5817, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260749, 5276, 1940, 280, 280, 2, 738, 0.0245286, 535099, 1.57189e+08, 5265.37, 0, 0, 0, 0, 0, 0, 0, 0, 0.000349119, 1.83824, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260750, 5276, 1940, 280, 280, 2, 4418, 0.0249915, 545196, 9.58671e+08, 32115.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.000504949, 16.2168, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260751, 5276, 1940, 280, 280, 2, 4512, 0.0252743, 551366, 9.90092e+08, 33170.2, 0, 0, 0, 0, 0, 0, 0, 0, 0.000477166, 15.8277, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260752, 5276, 1940, 280, 280, 2, 13142, 0.0254826, 555911, 2.90747e+09, 97410.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000483288, 47.0772, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260762, 5277, 1940, 280, 280, 2, 467, 0.0266462, 581296, 1.08009e+08, 3619.53, 0, 0, 0, 0, 0, 0, 0, 0, 2.41844e-05, 0.0875362, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260763, 5277, 1940, 280, 280, 2, 4186, 0.0248143, 541332, 9.01923e+08, 30213.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.00050943, 15.3917, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260765, 5277, 1940, 280, 280, 2, 343, 0.0247656, 540270, 7.37591e+07, 2470.83, 0, 0, 0, 0, 0, 0, 0, 0, 6.3385e-05, 0.156614, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260770, 5277, 1940, 280, 280, 2, 1661, 0.024276, 529588, 3.50155e+08, 11728.6, 0, 0, 0, 0, 0, 0, 0, 0, 0.000632157, 7.41432, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260777, 5277, 1940, 280, 280, 2, 4140, 0.024418, 532686, 8.77834e+08, 29404.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000514555, 15.1301, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260780, 5277, 1940, 280, 280, 2, 6688, 0.0252602, 551060, 1.46677e+09, 49139.8, 0, 0, 0, 0, 0, 0, 0, 0, 0.000502281, 24.682, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260781, 5277, 1940, 280, 280, 2, 4566, 0.0250782, 547088, 9.94207e+08, 33306.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.000501383, 16.6994, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260782, 5277, 1940, 280, 280, 2, 1183, 0.0246196, 537084, 2.52901e+08, 8471.6, 0, 0, 0, 0, 0, 0, 0, 0, 0.000510387, 4.3238, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260784, 5277, 1940, 280, 280, 2, 8689, 0.0256356, 559248, 1.93379e+09, 64790.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.000501302, 32.4798, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260786, 5277, 1940, 280, 280, 2, 1062, 0.0311181, 678851, 2.86588e+08, 9612.53, 0, 0, 0, 0, 0, 0, 0, 0, 0.000298042, 2.86494, 0.000599861, 0, 0, 0, 0, 0, 0, 0
260788, 5277, 1940, 280, 280, 2, 6313, 0.030794, 671779, 1.68597e+09, 56545.9, 0, 0, 0, 0, 0, 0, 0, 0, 0.000396734, 22.4337, 0.000599861, 0, 0, 0, 0, 0, 0, 0
